2026-03-04 14:22:36 | INFO     | news_provider | Fetching news from https://search.cnbc.com/rs/search/view.xml?partnerId=2000&keywords=stock%20market
2026-03-04 14:22:38 | INFO     | news_provider | Total articles fetched: 10
2026-03-04 14:24:15 | INFO     | news_provider | Fetching news from https://feeds.finance.yahoo.com/rss/2.0/headline
2026-03-04 14:24:15 | INFO     | news_provider | Fetching news from https://www.investing.com/rss/news.rss
2026-03-04 14:24:15 | INFO     | news_provider | Fetching news from https://search.cnbc.com/rs/search/view.xml?partnerId=2000&keywords=stock%20market
2026-03-04 14:24:17 | INFO     | news_provider | Total articles fetched: 10
2026-03-04 14:24:17 | INFO     | trading_service | Découverte d'opportunités à partir de 20 articles...
2026-03-04 14:24:19 | INFO     | trading_service | Symboles générés par l'IA : ['GITLAB', 'CRWD', 'VCI']
2026-03-04 14:24:19 | INFO     | trading_service | Analyse de 8 symboles au total : ['CRWD', 'MSFT', 'GOOGL', 'GITLAB', 'AAPL', 'VCI', 'AMZN', 'TSLA']
2026-03-04 14:25:53 | INFO     | news_provider | Fetching news from https://feeds.finance.yahoo.com/rss/2.0/headline
2026-03-04 14:25:53 | INFO     | news_provider | Fetching news from https://www.investing.com/rss/news.rss
2026-03-04 14:25:53 | INFO     | news_provider | Fetching news from https://search.cnbc.com/rs/search/view.xml?partnerId=2000&keywords=stock%20market
2026-03-04 14:25:54 | INFO     | news_provider | Total articles fetched: 10
2026-03-04 14:25:54 | INFO     | trading_service | Découverte d'opportunités à partir de 20 articles...
2026-03-04 14:25:56 | INFO     | trading_service | Symboles générés par l'IA : ['GTLB', 'CRWD', 'CORE']
2026-03-04 14:25:56 | INFO     | trading_service | Analyse de 8 symboles au total : ['AMZN', 'GTLB', 'CRWD', 'MSFT', 'CORE', 'AAPL', 'GOOGL', 'TSLA']
2026-03-04 14:26:09 | WARNING  | trading_service | [CORE] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:27:53 | INFO     | news_provider | Fetching news from https://feeds.finance.yahoo.com/rss/2.0/headline
2026-03-04 14:27:53 | INFO     | news_provider | Fetching news from https://www.investing.com/rss/news.rss
2026-03-04 14:27:53 | INFO     | news_provider | Fetching news from https://search.cnbc.com/rs/search/view.xml?partnerId=2000&keywords=stock%20market
